"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
i5,tercer_bloque,,radio,"5. Tiempo de trabajo en el establecimiento
<div style=""position: relative; background-color:#ffff; top:40px; left: 670px; width:50px; height:30px""></div>","1, Años | 2, Meses | 3, Días",,,,,,,y,LH,,,,
i5a,tercer_bloque,,text,"¿Cuántos días?",,"Si labora menos de 1 mes",integer,1,30,,"[i5] = '3'",y,LH,,,,
i5b,tercer_bloque,,text,"¿Cuántos meses?",,"Si labora menos de 12 meses",integer,1,11,,"[i5] = '2'",y,LH,,,,
i5c,tercer_bloque,,text,"¿Cuántos años?",,"Si labora más de 12 meses",integer,1,99,,"[i5] = '1'",y,LH,,,,
i6,tercer_bloque,,dropdown,"6. Rol ocupacional ","1, Médico general | 2, Médico especialista | 3, Médico residente | 4, Enfermero | 5, Enfermero residente | 6, Técnico de enfermería | 7, Tecnólogo médico | 8, Psicólogo | 9, Técnico laboratorista | 10, Técnico radiólogo | 99, Otro",,,,,,,y,LH,,,,
i6_esp,tercer_bloque,,dropdown,"¿Qué tipo de especialidad tiene o realiza?","1, Administración en Salud | 2, Anestesiología | 3, Anatomía Patológica | 4, Cardiología | 5, Cirugía General | 6, Cirugía de Cabeza y Cuello | 7, Cirugía de Mano | 8, Cirugía Oncológica | 9, Cirugía Plástica | 10, Cirugía Pediátrica | 11, Dermatología | 12, Endocrinología | 13, Epidemiología y Bioestadística | 14, Gastroenterología | 15, Gerencia en Salud | 16, Geriatría | 17, Ginecología y Obstetricia | 18, Hematología | 19, Medicina de Enfermedades Infecciosas y Tropicales | 20, Medicina de Emergencias y Desastres | 21, Medicina Familiar y Comunitaria | 22, Medicina Física y Rehabilitación | 23, Medicina Intensiva | 24, Medicina Interna | 25, Medicina Ocupacional y del Medio Ambiente | 26, Medicina Oncológica | 27, Nefrología | 28, Neonatología | 29, Neumología | 30, Neurocirugía | 31, Neurología | 32, Oftalmología | 33, Otorrinolaringología | 34, Ortopedia y Traumatología | 35, Patología Clínica | 36, Pediatría | 37, Psiquiatría General | 38, Psiquiatría de Adicciones | 39, Psiquiatría de Niños y Adolescentes | 40, Radiología | 41, Reumatología | 42, Urología | 43, Salud Pública | 44, Unidad de Cuidados Intensivos | 45, Otros",,,,,,"[i6]='2' or [i6]='3'",y,LH,,,,
i6_esp_otro,tercer_bloque,,text,Especifique:,,,,,,,[i6_esp]='45',y,LH,,,,
i6_otro,tercer_bloque,,text,"Especifique: ",,,,,,,"[i6] = '99'",y,LH,,,,
i7,tercer_bloque,,text,"7. ¿Cuántos años de experiencia clínica tiene en su profesión? ",,,integer,1,99,,,y,LH,,,,
i8,tercer_bloque,,radio,"8. ¿El área donde trabaja atendiendo pacientes COVID-19 corresponde a su área de labores cotidiana?
<div style=""position: relative; background-color:#ffff; top:40px; left: 670px; width:50px; height:30px""></div>","1, Sí | 0, No",,,,,,,y,LH,,,,
i9,tercer_bloque,,text,"9. ¿Cuánto tiempo lleva atendiendo pacientes COVID-19? ",,semanas,integer,1,99,,,y,LH,,,,
i10,tercer_bloque,,radio,"10. ¿Fue contratado solo en la actual pandemia para atender pacientes COVID-19?
<div style=""position: relative; background-color:#ffff; top:40px; left: 670px; width:50px; height:30px""></div>","1, Sí | 0, No",,,,,,,y,LH,,,,
i11,tercer_bloque,,radio,"11. ¿Recibió capacitación especializada en la atención de pacientes COVID-19?
<div style=""position: relative; background-color:#ffff; top:40px; left: 670px; width:50px; height:30px""></div>","1, Sí | 0, No",,,,,,,y,LH,,,,
i12,tercer_bloque,,text,"12. Número de horas semanales en atención directa con pacientes COVID-19: ",,horas,integer,0,128,,,y,LH,,,,
i13,tercer_bloque,,radio,"13. A lo largo de la atención directa con pacientes COVID-19, recibió los equipos de protección personal (EPP) apropiados y en forma oportuna:
<div style=""position: relative; background-color:#ffff; top:40px; left: 670px; width:50px; height:30px""></div>","0, Nunca | 1, Rara vez | 2, Algunas veces | 3, Casi siempre | 4, Siempre",,,,,,,y,LH,,,,
i14,tercer_bloque,,checkbox,"14. ¿En qué área o servicio está desempeñando su labores?<div style=""font-weight:normal"">(Puede marcar más de 1)</div>","1, Consulta ambulatoria | 2, Hospitalización general | 3, UCI | 4, Emergencia | 5, Cirugía | 6, Triaje | 7, Atención domiciliaria | 8, Traslado de pacientes | 9, Morgue o Mortuorio | 10, Otros",,,,,,,y,,,,,
i14_otro,tercer_bloque,,text,Especifique:,,,,,,,[i14(10)]='1',y,LH,,,,
i15,tercer_bloque,,radio,"15. ¿Realiza usted guardias?
<div style=""position: relative; background-color:#ffff; top:40px; left: 670px; width:50px; height:30px""></div>","1, Sí | 0, No",,,,,,,y,LH,,,,
i15a,tercer_bloque,,checkbox,"15a. Las guardias realizadas son turnos generalmente de: (puede marcar máximo 2)
","1, 12 horas | 2, 24 horas | 3, 36 horas | 4, 48 horas | 5, Otro",,,,,,[i15]='1',y,LH,,,," @MAXCHECKED=2"
i15a_esp,tercer_bloque,,text,"Especifique (horas):",,,integer,1,99,,"[i15a(5)] = '1'",y,LH,,,,
no_eti16,tercer_bloque,,descriptive,"16. ¿Pertenece usted a algún grupo de riesgo de mayor gravedad del covid-19?",,,,,,,,,,,,,
i16a,tercer_bloque,,radio,"a. Hipertensión<div style=""position: relative; background-color:#ffff; top:20px; left: 683px; width:30px; height:20px""></div>","1, Sí | 0, No",,,,,,,y,,,i16,,
i16b,tercer_bloque,,radio,"b. Obesidad<div style=""position: relative; background-color:#ffff; top:20px; left: 683px; width:30px; height:20px""></div>","1, Sí | 0, No",,,,,,,y,,,i16,,
i16c,tercer_bloque,,radio,"c. Diabetes<div style=""position: relative; background-color:#ffff; top:20px; left: 683px; width:30px; height:20px""></div>","1, Sí | 0, No",,,,,,,y,,,i16,,
i16d,tercer_bloque,,radio,"d. Asma<div style=""position: relative; background-color:#ffff; top:20px; left: 683px; width:30px; height:20px""></div>","1, Sí | 0, No",,,,,,,y,,,i16,,
i16e,tercer_bloque,,radio,"e. Cardiopatías<div style=""position: relative; background-color:#ffff; top:20px; left: 683px; width:30px; height:20px""></div>","1, Sí | 0, No",,,,,,,y,,,i16,,
i16f,tercer_bloque,,radio,"f. Patología Pulmonar Crónica<div style=""position: relative; background-color:#ffff; top:20px; left: 683px; width:30px; height:20px""></div>","1, Sí | 0, No",,,,,,,y,,,i16,,
i16g,tercer_bloque,,radio,"g. Cáncer<div style=""position: relative; background-color:#ffff; top:20px; left: 683px; width:30px; height:20px""></div>","1, Sí | 0, No",,,,,,,y,,,i16,,
i16h,tercer_bloque,,radio,"h. Otra Enfermedad Crónica<div style=""position: relative; background-color:#ffff; top:20px; left: 683px; width:30px; height:20px""></div>","1, Sí | 0, No",,,,,,,y,,,i16,,
i17,tercer_bloque,,radio,"17. ¿Se ha contagiado con el virus COVID-19 durante su labor frente a los pacientes?
<div style=""position: relative; background-color:#ffff; top:40px; left: 670px; width:50px; height:30px""></div>","1, Sí | 0, No",,,,,,,y,LH,,,,
i18,tercer_bloque,,radio,"18. ¿Algún familiar cercano se ha contagiado del COVID-19?
<div style=""position: relative; background-color:#ffff; top:40px; left: 670px; width:50px; height:30px""></div>","1, Sí | 0, No",,,,,,,y,LH,,,,
no_eti19,tercer_bloque,,descriptive,"19. ¿Algún familiar en su hogar pertenece a algún grupo de riesgo de mayor gravedad del COVID-19?",,,,,,,,y,,,,,
i19a,tercer_bloque,,radio,"a.	Hipertensión<div style=""position: relative; background-color:#ffff; top:20px; left: 683px; width:30px; height:20px""></div>","1, Sí | 0, No",,,,,,,y,,,i19,,
i19b,tercer_bloque,,radio,"b.	Obesidad<div style=""position: relative; background-color:#ffff; top:20px; left: 683px; width:30px; height:20px""></div>","1, Sí | 0, No",,,,,,,y,,,i19,,
i19c,tercer_bloque,,radio,"c.	Diabetes<div style=""position: relative; background-color:#ffff; top:20px; left: 683px; width:30px; height:20px""></div>","1, Sí | 0, No",,,,,,,y,,,i19,,
i19d,tercer_bloque,,radio,"d.	Asma<div style=""position: relative; background-color:#ffff; top:20px; left: 683px; width:30px; height:20px""></div>","1, Sí | 0, No",,,,,,,y,,,i19,,
i19e,tercer_bloque,,radio,"e.	Cardiopatías<div style=""position: relative; background-color:#ffff; top:20px; left: 683px; width:30px; height:20px""></div>","1, Sí | 0, No",,,,,,,y,,,i19,,
i19f,tercer_bloque,,radio,"f.	Patología Pulmonar Crónica<div style=""position: relative; background-color:#ffff; top:20px; left: 683px; width:30px; height:20px""></div>","1, Sí | 0, No",,,,,,,y,,,i19,,
i19g,tercer_bloque,,radio,"g.	Cáncer<div style=""position: relative; background-color:#ffff; top:20px; left: 683px; width:30px; height:20px""></div>","1, Sí | 0, No",,,,,,,y,,,i19,,
i19h,tercer_bloque,,radio,"h.	Otra Enfermedad Crónica<div style=""position: relative; background-color:#ffff; top:20px; left: 683px; width:30px; height:20px""></div>","1, Sí | 0, No",,,,,,,y,,,i19,,
no_btn3,tercer_bloque,,descriptive,"<center><div style=""width:20%; color:#ffff; background-color:#82212A; padding:1px; position:relative; left: -35px; border-radius: 12px""><font size=1px>¡Dale click al botón Submit, para continuar!</div></center>",,,,,,,"[i19h] = '1' or [i19h] = '0'",,,,,,
edad,cuarto_bloque,"II. DATOS SOCIODEMOGRÁFICOS 
",text,"1. Edad",,,integer,18,99,,,y,,,,,
sex,cuarto_bloque,,radio,"2. Sexo
<div style=""position: relative; background-color:#ffff; top:20px; left: 683px; width:30px; height:20px""></div>","1, Masculino | 2, Femenino",,,,,,,y,,,,,
ii3,cuarto_bloque,,radio,"3. Lugar de nacimiento (Indique País) 
<div style=""position: relative; background-color:#ffff; top:20px; left: 683px; width:30px; height:20px""></div>","1, Perú | 2, Otro",,,,,,,y,,,,,
l_nac_o,cuarto_bloque,,text,"Especifique: ",,,,,,,"[ii3] = '2'",y,,,,,
lndep,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Región: </div>","010000, AMAZONAS | 020000, ANCASH | 030000, APURIMAC | 040000, AREQUIPA | 050000, AYACUCHO | 060000, CAJAMARCA | 070000, CALLAO | 080000, CUSCO | 090000, HUANCAVELICA | 100000, HUANUCO | 110000, ICA | 120000, JUNIN | 130000, LA LIBERTAD | 140000, LAMBAYEQUE | 150000, LIMA | 160000, LORETO | 170000, MADRE DE DIOS | 180000, MOQUEGUA | 190000, PASCO | 200000, PIURA | 210000, PUNO | 220000, SAN MARTIN | 230000, TACNA | 240000, TUMBES | 250000, UCAYALI",,,,,,[ii3]='1',y,,,,,
lnprov_ama,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Provincia: </div>","010100, CHACHAPOYAS | 010200, BAGUA | 010300, BONGARA | 010400, CONDORCANQUI | 010500, LUYA | 010600, RODRIGUEZ DE MENDOZA | 010700, UTCUBAMBA",,,,,,"[lndep] = '010000'",y,,,,,
lndist_ama_ch,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","010101, CHACHAPOYAS | 010102, ASUNCION | 010103, BALSAS | 010104, CHETO | 010105, CHILIQUIN | 010106, CHUQUIBAMBA | 010107, GRANADA | 010108, HUANCAS | 010109, LA JALCA | 010110, LEIMEBAMBA | 010111, LEVANTO | 010112, MAGDALENA | 010113, MARISCAL CASTILLA | 010114, MOLINOPAMPA | 010115, MONTEVIDEO | 010116, OLLEROS | 010117, QUINJALCA | 010118, SAN FRANCISCO DE DAGUAS | 010119, SAN ISIDRO DE MAINO | 010120, SOLOCO | 010121, SONCHE",,,,,,"[lnprov_ama] = '010100'",y,,,,,
lndist_ama_bag,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","010201, BAGUA | 010202, ARAMANGO | 010203, COPALLIN | 010204, EL PARCO | 010205, IMAZA | 010206, LA PECA",,,,,,"[lnprov_ama] = '010200'",y,,,,,
lndist_ama_bong,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","010301, JUMBILLA | 010302, CHISQUILLA | 010303, CHURUJA | 010304, COROSHA | 010305, CUISPES | 010306, FLORIDA | 010307, JAZAN | 010308, RECTA | 010309, SAN CARLOS | 010310, SHIPASBAMBA | 010311, VALERA | 010312, YAMBRASBAMBA",,,,,,"[lnprov_ama] = '010300'",y,,,,,
lndist_ama_cond,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","010401, NIEVA | 010402, EL CENEPA | 010403, RIO SANTIAGO",,,,,,"[lnprov_ama] = '010400'",y,,,,,
lndist_ama_luya,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","010501, LAMUD | 010502, CAMPORREDONDO | 010503, COCABAMBA | 010504, COLCAMAR | 010505, CONILA | 010506, INGUILPATA | 010507, LONGUITA | 010508, LONYA CHICO | 010509, LUYA | 010510, LUYA VIEJO | 010511, MARIA | 010512, OCALLI | 010513, OCUMAL | 010514, PISUQUIA | 010515, PROVIDENCIA | 010516, SAN CRISTOBAL | 010517, SAN FRANCISCO DEL YESO | 010518, SAN JERONIMO | 010519, SAN JUAN DE LOPECANCHA | 010520, SANTA CATALINA | 010521, SANTO TOMAS | 010522, TINGO | 010523, TRITA",,,,,,"[lnprov_ama] = '010500'",y,,,,,
lndist_ama_rodgm,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","010601, SAN NICOLAS | 010602, CHIRIMOTO | 010603, COCHAMAL | 010604, HUAMBO | 010605, LIMABAMBA | 010606, LONGAR | 010607, MARISCAL BENAVIDES | 010608, MILPUC | 010609, OMIA | 010610, SANTA ROSA | 010611, TOTORA | 010612, VISTA ALEGRE",,,,,,"[lnprov_ama] = '010600'",y,,,,,
lndist_ama_utcu,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","010701, BAGUA GRANDE | 010702, CAJARURO | 010703, CUMBA | 010704, EL MILAGRO | 010705, JAMALCA | 010706, LONYA GRANDE | 010707, YAMON",,,,,,"[lnprov_ama] = '010700'",y,,,,,
lnprov_ash,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Provincia: </div>","020100, HUARAZ | 020200, AIJA | 020300, ANTONIO RAYMONDI | 020400, ASUNCION | 020500, BOLOGNESI | 020600, CARHUAZ | 020700, CARLOS F. FITZCARRALD | 020800, CASMA | 020900, CORONGO | 021000, HUARI | 021100, HUARMEY | 021200, HUAYLAS | 021300, MARISCAL LUZURIAGA | 021400, OCROS | 021500, PALLASCA | 021600, POMABAMBA | 021700, RECUAY | 021800, SANTA | 021900, SIHUAS | 022000, YUNGAY",,,,,,"[lndep] = '020000'",y,,,,,
lndist_ash_1,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","020101, HUARAZ | 020102, COCHABAMBA | 020103, COLCABAMBA | 020104, HUANCHAY | 020105, INDEPENDENCIA | 020106, JANGAS | 020107, LA LIBERTAD | 020108, OLLEROS | 020109, PAMPAS | 020110, PARIACOTO | 020111, PIRA | 020112, TARICA",,,,,,"[lnprov_ash] = '020100'",y,,,,,
lndist_ash_2,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","020201, AIJA | 020202, CORIS | 020203, HUACLLAN | 020204, LA MERCED | 020205, SUCCHA",,,,,,"[lnprov_ash] = '020200'",y,,,,,
lndist_ash_3,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","020301, LLAMELLIN | 020302, ACZO | 020303, CHACCHO | 020304, CHINGAS | 020305, MIRGAS | 020306, SAN JUAN DE RONTOY",,,,,,"[lnprov_ash] = '020300'",y,,,,,
lndist_ash_4,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","020401, CHACAS | 020402, ACOCHACA",,,,,,"[lnprov_ash] = '020400'",y,,,,,
lndist_ash_5,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","020501, CHIQUIAN | 020502, ABELARDO PARDO LEZAMETA | 020503, ANTONIO RAYMONDI | 020504, AQUIA | 020505, CAJACAY | 020506, CANIS | 020507, COLQUIOC | 020508, HUALLANCA | 020509, HUASTA | 020510, HUAYLLACAYAN | 020511, LA PRIMAVERA | 020512, MANGAS | 020513, PACLLON | 020514, SAN MIGUEL DE CORPANQUI | 020515, TICLLOS",,,,,,"[lnprov_ash] = '020500'",y,,,,,
lndist_ash_6,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","020601, CARHUAZ | 020602, ACOPAMPA | 020603, AMASHCA | 020604, ANTA | 020605, ATAQUERO | 020606, MARCARA | 020607, PARIAHUANCA | 020608, SAN MIGUEL DE ACO | 020609, SHILLA | 020610, TINCO | 020611, YUNGAR",,,,,,"[lnprov_ash] = '020600'",y,,,,,
lndist_ash_7,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","020701, SAN LUIS | 020702, SAN NICOLAS | 020703, YAUYA",,,,,,"[lnprov_ash] = '020700'",y,,,,,
lndist_ash_8,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","020801, CASMA | 020802, BUENA VISTA ALTA | 020803, COMANDANTE NOEL | 020804, YAUTAN",,,,,,"[lnprov_ash] = '020800'",y,,,,,
lndist_ash_9,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","020901, CORONGO | 020902, ACO | 020903, BAMBAS | 020904, CUSCA | 020905, LA PAMPA | 020906, YANAC | 020907, YUPAN",,,,,,"[lnprov_ash] = '020900'",y,,,,,
lndist_ash_10,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","021001, HUARI | 021002, ANRA | 021003, CAJAY | 021004, CHAVIN DE HUANTAR | 021005, HUACACHI | 021006, HUACCHIS | 021007, HUACHIS | 021008, HUANTAR | 021009, MASIN | 021010, PAUCAS | 021011, PONTO | 021012, RAHUAPAMPA | 021013, RAPAYAN | 021014, SAN MARCOS | 021015, SAN PEDRO DE CHANA | 021016, UCO",,,,,,"[lnprov_ash] = '021000'",y,,,,,
lndist_ash_11,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","021101, HUARMEY | 021102, COCHAPETI | 021103, CULEBRAS | 021104, HUAYAN | 021105, MALVAS",,,,,,"[lnprov_ash] = '021100'",y,,,,,
lndist_ash_12,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","021201, CARAZ | 021202, HUALLANCA | 021203, HUATA | 021204, HUAYLAS | 021205, MATO | 021206, PAMPAROMAS | 021207, PUEBLO LIBRE | 021208, SANTA CRUZ | 021209, SANTO TORIBIO | 021210, YURACMARCA",,,,,,"[lnprov_ash] = '021200'",y,,,,,
lndist_ash_13,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","021301, PISCOBAMBA | 021302, CASCA | 021303, ELEAZAR GUZMAN BARRON | 021304, FIDEL OLIVAS ESCUDERO | 021305, LLAMA | 021306, LLUMPA | 021307, LUCMA | 021308, MUSGA",,,,,,"[lnprov_ash] = '021300'",y,,,,,
lndist_ash_14,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","021401, OCROS | 021402, ACAS | 021403, CAJAMARQUILLA | 021404, CARHUAPAMPA | 021405, COCHAS | 021406, CONGAS | 021407, LLIPA | 021408, SAN CRISTOBAL DE RAJAN | 021409, SAN PEDRO | 021410, SANTIAGO DE CHILCAS",,,,,,"[lnprov_ash] = '021400'",y,,,,,
lndist_ash_15,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","021501, CABANA | 021502, BOLOGNESI | 021503, CONCHUCOS | 021504, HUACASCHUQUE | 021505, HUANDOVAL | 021506, LACABAMBA | 021507, LLAPO | 021508, PALLASCA | 021509, PAMPAS | 021510, SANTA ROSA | 021511, TAUCA",,,,,,"[lnprov_ash] = '021500'",y,,,,,
lndist_ash_16,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","021601, POMABAMBA | 021602, HUAYLLAN | 021603, PAROBAMBA | 021604, QUINUABAMBA",,,,,,"[lnprov_ash] = '021600'",y,,,,,
lndist_ash_17,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","021701, RECUAY | 021702, CATAC | 021703, COTAPARACO | 021704, HUAYLLAPAMPA | 021705, LLACLLIN | 021706, MARCA | 021707, PAMPAS CHICO | 021708, PARARIN | 021709, TAPACOCHA | 021710, TICAPAMPA",,,,,,"[lnprov_ash] = '021700'",y,,,,,
lndist_ash_18,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","021801, CHIMBOTE | 021802, CACERES DEL PERU | 021803, COISHCO | 021804, MACATE | 021805, MORO | 021806, NEPEÑA | 021807, SAMANCO | 021808, SANTA | 021809, NUEVO CHIMBOTE",,,,,,"[lnprov_ash] = '021800'",y,,,,,
lndist_ash_19,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","021901, SIHUAS | 021902, ACOBAMBA | 021903, ALFONSO UGARTE | 021904, CASHAPAMPA | 021905, CHINGALPO | 021906, HUAYLLABAMBA | 021907, QUICHES | 021908, RAGASH | 021909, SAN JUAN | 021910, SICSIBAMBA",,,,,,"[lnprov_ash] = '021900'",y,,,,,
lndist_ash_20,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","022001, YUNGAY | 022002, CASCAPARA | 022003, MANCOS | 022004, MATACOTO | 022005, QUILLO | 022006, RANRAHIRCA | 022007, SHUPLUY | 022008, YANAMA",,,,,,"[lnprov_ash] = '022000'",y,,,,,
lnprov_apu,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Provincia: </div>","030100, ABANCAY | 030200, ANDAHUAYLAS | 030300, ANTABAMBA | 030400, AYMARAES | 030500, COTABAMBAS | 030600, CHINCHEROS | 030700, GRAU",,,,,,"[lndep] = '030000'",y,,,,,
lndist_apu_1,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","030101, ABANCAY | 030102, CHACOCHE | 030103, CIRCA | 030104, CURAHUASI | 030105, HUANIPACA | 030106, LAMBRAMA | 030107, PICHIRHUA | 030108, SAN PEDRO DE CACHORA | 030109, TAMBURCO",,,,,,"[lnprov_apu] = '030100'",y,,,,,
lndist_apu_2,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","030201, ANDAHUAYLAS | 030202, ANDARAPA | 030203, CHIARA | 030204, HUANCARAMA | 030205, HUANCARAY | 030206, HUAYANA | 030207, KISHUARA | 030208, PACOBAMBA | 030209, PACUCHA | 030210, PAMPACHIRI | 030211, POMACOCHA | 030212, SAN ANTONIO DE CACHI | 030213, SAN JERONIMO | 030214, SAN MIGUEL DE CHACCRAMPA | 030215, SANTA MARIA DE CHICMO | 030216, TALAVERA | 030217, TUMAY HUARACA | 030218, TURPO | 030219, KAQUIABAMBA | 030220, JOSÉ MARÍA ARGUEDAS",,,,,,"[lnprov_apu] = '030200'",y,,,,,
lndist_apu_3,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","030301, ANTABAMBA | 030302, EL ORO | 030303, HUAQUIRCA | 030304, JUAN ESPINOZA MEDRANO | 030305, OROPESA | 030306, PACHACONAS | 030307, SABAINO",,,,,,"[lnprov_apu] = '030300'",y,,,,,
lndist_apu_4,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","030401, CHALHUANCA | 030402, CAPAYA | 030403, CARAYBAMBA | 030404, CHAPIMARCA | 030405, COLCABAMBA | 030406, COTARUSE | 030407, HUAYLLO | 030408, JUSTO APU SAHUARAURA | 030409, LUCRE | 030410, POCOHUANCA | 030411, SAN JUAN DE CHACÑA | 030412, SAÑAYCA | 030413, SORAYA | 030414, TAPAIRIHUA | 030415, TINTAY | 030416, TORAYA | 030417, YANACA",,,,,,"[lnprov_apu] = '030400'",y,,,,,
lndist_apu_5,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","030501, TAMBOBAMBA | 030502, COTABAMBAS | 030503, COYLLURQUI | 030504, HAQUIRA | 030505, MARA | 030506, CHALLHUAHUACHO",,,,,,"[lnprov_apu] = '030500'",y,,,,,
lndist_apu_6,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","030601, CHINCHEROS | 030602, ANCO-HUALLO | 030603, COCHARCAS | 030604, HUACCANA | 030605, OCOBAMBA | 030606, ONGOY | 030607, URANMARCA | 030608, RANRACANCHA | 030609, ROCCHACC | 030610, EL PORVENIR | 030611, LOS CHANKAS",,,,,,"[lnprov_apu] = '030600'",y,,,,,
lndist_apu_7,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","030701, CHUQUIBAMBILLA | 030702, CURPAHUASI | 030703, GAMARRA | 030704, HUAYLLATI | 030705, MAMARA | 030706, MICAELA BASTIDAS | 030707, PATAYPAMPA | 030708, PROGRESO | 030709, SAN ANTONIO | 030710, SANTA ROSA | 030711, TURPAY | 030712, VILCABAMBA | 030713, VIRUNDO | 030714, CURASCO",,,,,,"[lnprov_apu] = '030700'",y,,,,,
lnprov_are,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Provincia: </div>","040100, AREQUIPA | 040200, CAMANA | 040300, CARAVELI | 040400, CASTILLA | 040500, CAYLLOMA | 040600, CONDESUYOS | 040700, ISLAY | 040800, LA UNION",,,,,,"[lndep] = '040000'",y,,,,,
lndist_are_1,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","040101, AREQUIPA | 040102, ALTO SELVA ALEGRE | 040103, CAYMA | 040104, CERRO COLORADO | 040105, CHARACATO | 040106, CHIGUATA | 040107, JACOBO HUNTER | 040108, LA JOYA | 040109, MARIANO MELGAR | 040110, MIRAFLORES | 040111, MOLLEBAYA | 040112, PAUCARPATA | 040113, POCSI | 040114, POLOBAYA | 040115, QUEQUEÑA | 040116, SABANDIA | 040117, SACHACA | 040118, SAN JUAN DE SIGUAS | 040119, SAN JUAN DE TARUCANI | 040120, SANTA ISABEL DE SIGUAS | 040121, SANTA RITA DE SIGUAS | 040122, SOCABAYA | 040123, TIABAYA | 040124, UCHUMAYO | 040125, VITOR | 040126, YANAHUARA | 040127, YARABAMBA | 040128, YURA | 040129, JOSE LUIS BUSTAMANTE Y RIVERO",,,,,,"[lnprov_are] = '040100'",y,,,,,
lndist_are_2,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","040201, CAMANA | 040202, JOSE MARIA QUIMPER | 040203, MARIANO NICOLAS VALCARCEL | 040204, MARISCAL CACERES | 040205, NICOLAS DE PIEROLA | 040206, OCOÑA | 040207, QUILCA | 040208, SAMUEL PASTOR",,,,,,"[lnprov_are] = '040200'",y,,,,,
lndist_are_3,cuarto_bloque,,dropdown,"<div style=""position:relative; left:45px"">Distrito: </div>","040301, CARAVELI | 040302, ACARI | 040303, ATICO | 040304, ATIQUIPA | 040305, BELLA UNION | 040306, CAHUACHO | 040307, CHALA | 040308, CHAPARRA | 040309, HUANUHUANU | 040310, JAQUI | 040311, LOMAS | 040312, QUICACHA | 040313, YAUCA",,,,,,"[lnprov_are] = '040300'",y,,,,,
